"Record Id","Lead Owner.id","Lead Owner",Company,"First Name","Last Name",Title,Email,Phone,Fax,Mobile,Website,"Lead Source","Lead Status",Industry,"No. of Employees","Annual Revenue",Rating,"Created By.id","Created By","Modified By.id","Modified By","Created Time","Modified Time","Lead Name",Street,City,State,"Zip Code",Country,Description,"Skype ID","Email Opt Out",Salutation,"Secondary Email",Currency,"Exchange Rate","Last Activity Time",Twitter,Tag,"Converted Date Time","Lead Conversion Time","Unsubscribed Mode","Unsubscribed Time","Converted Account.id","Converted Account","Converted Contact.id","Converted Contact","Converted Deal.id","Converted Deal","Change Log Time","Is Converted",Locked,"Last Enriched Time","Enrich Status","Data Processing Basis Details.id","Data Processing Basis","Data Source"
zcrm_6045419000000460719,zcrm_6045419000000442001,Rodrigo,"Creative Business Systems",Chau,"Kitzman (Sample)","Junior Executive",chau-kitzman@noemail.com,555-555-5555,,555-555-5555,http://www.bentonjohnbjr.com,Advertisement,"Attempted to Contact",ERP,,100000,,zcrm_6045419000000442001,Rodrigo,zcrm_6045419000000442001,Rodrigo,"2023-11-30 15:23:57","2023-11-30 15:24:02","Chau Kitzman (Sample)","6649 N Blue Gum St","New Orleans",LA,70116,"United States",,chau-kitzman,false,Mr.,,BRL,1.000000000,"2023-11-30 15:24:02",chaukitzman_sample,,,,,,,,,,,,,false,false,,,,,"Sample Data"
zcrm_6045419000000460720,zcrm_6045419000000442001,Rodrigo,"Dal Tile Corporation",Theola,"Frey (Sample)","Mechanical Systems Engineer",theola-frey@noemail.com,555-555-5555,,555-555-5555,http://www.chanayjeffreyaesq.com,"Cold Call","Contact in Future","Management ISV",,200000,,zcrm_6045419000000442001,Rodrigo,zcrm_6045419000000442001,Rodrigo,"2023-11-30 15:23:57","2023-11-30 15:24:02","Theola Frey (Sample)","4 B Blue Ridge Blvd",Brighton,MI,48116,"United States",,theola-frey,false,Ms.,,BRL,1.000000000,"2023-11-30 15:24:02",theolafrey_sample,,,,,,,,,,,,,false,false,,,,,"Sample Data"
zcrm_6045419000000460721,zcrm_6045419000000442001,Rodrigo,"Buckley Miller & Wright",Michael,"Ruta (Sample)","Computer Systems Analyst II",michael-gruta@noemail.com,555-555-5555,,555-555-5555,http://www.buckleymillerwright.com,"Online Store","Attempted to Contact","MSP (Management Service Provider)",,850000,,zcrm_6045419000000442001,Rodrigo,zcrm_6045419000000442001,Rodrigo,"2023-11-30 15:23:57","2023-11-30 15:24:02","Michael Ruta (Sample)","98 Connecticut Ave Nw","Chagrin Falls",OH,44023,"United States",,michael-gruta,false,Mr.,,BRL,1.000000000,"2023-11-30 15:24:02",michaelgruta_sample,,,,,,,,,,,,,false,false,,,,,"Sample Data"
zcrm_6045419000000460722,zcrm_6045419000000442001,Rodrigo,Grayson,Yvonne,"Tjepkema (Sample)","Office Assistant III",yvonne-tjepkema@noemail.com,555-555-5555,,555-555-5555,http://www.feltzprintingservice.com,"External Referral",Pre-Qualified,Government/Military,,170000,,zcrm_6045419000000442001,Rodrigo,zcrm_6045419000000442001,Rodrigo,"2023-11-30 15:23:57","2023-11-30 15:24:02","Yvonne Tjepkema (Sample)","639 Main St",Anchorage,AK,99501,"United States",,yvonne-tjepkema,false,Ms.,,BRL,1.000000000,"2023-11-30 15:24:02",yvonnetjepkema_sample,,,,,,,,,,,,,false,false,,,,,"Sample Data"
zcrm_6045419000000460723,zcrm_6045419000000442001,Rodrigo,"Printing Dimensions",Kayleigh,"Lace (Sample)","Cost Accountant",kayleigh-lace@noemail.com,555-555-5555,,555-555-5555,http://www.printingdimensions.com,Partner,"Not Contacted","Optical Networking",,270000,,zcrm_6045419000000442001,Rodrigo,zcrm_6045419000000442001,Rodrigo,"2023-11-30 15:23:57","2023-11-30 15:24:02","Kayleigh Lace (Sample)","34 Center St",Hamilton,OH,45011,"United States",,kayleigh-lace,false,Ms.,,BRL,1.000000000,"2023-11-30 15:24:02",kayleighlace_sample,,,,,,,,,,,,,false,false,,,,,"Sample Data"
zcrm_6045419000000460724,zcrm_6045419000000442001,Rodrigo,Chapman,Felix,"Hirpara (Sample)","Computer Systems Analyst I",felix-hirpara@noemail.com,555-555-5555,,555-555-5555,http://www.chapmanrosseesq.com,"Online Store","Attempted to Contact","Non-management ISV",,230000,,zcrm_6045419000000442001,Rodrigo,zcrm_6045419000000442001,Rodrigo,"2023-11-30 15:23:57","2023-11-30 15:24:03","Felix Hirpara (Sample)","3 Mcauley Dr",Ashland,OH,44805,"United States",,felix-hirpara,false,Mr.,,BRL,1.000000000,"2023-11-30 15:24:03",felixhirpara_sample,,,,,,,,,,,,,false,false,,,,,"Sample Data"
zcrm_6045419000000460725,zcrm_6045419000000442001,Rodrigo,"Morlong Associates",Tresa,"Sweely (Sample)","Executive Secretary",tresa-sweely@noemail.com,555-555-5555,,555-555-5555,http://www.morlongassociates.com,"Seminar Partner",Contacted,"Storage Equipment",,190000,,zcrm_6045419000000442001,Rodrigo,zcrm_6045419000000442001,Rodrigo,"2023-11-30 15:23:57","2023-11-30 15:24:03","Tresa Sweely (Sample)","7 Eads St",Chicago,IL,60632,"United States",,tresa-sweely,false,Ms.,,BRL,1.000000000,"2023-11-30 15:24:03",tresasweely_sample,,,,,,,,,,,,,false,false,,,,,"Sample Data"
zcrm_6045419000000460726,zcrm_6045419000000442001,Rodrigo,"Kwik Kopy Printing",James,"Merced (Sample)","Biostatistician I",james-merced@noemail.com,555-555-5555,,555-555-5555,http://www.commercialpress.com,"Web Download","Lost Lead","Large Enterprise",,650000,,zcrm_6045419000000442001,Rodrigo,zcrm_6045419000000442001,Rodrigo,"2023-11-30 15:23:57","2023-11-30 15:24:03","James Merced (Sample)","7 W Jackson Blvd","San Jose",CA,95111,"United States",,james-merced,false,Mr.,,BRL,1.000000000,"2023-11-30 15:24:03",jamesmerced_sample,,,,,,,,,,,,,false,false,,,,,"Sample Data"
zcrm_6045419000000460727,zcrm_6045419000000442001,Rodrigo,"Oh My Goodknits Inc",Carissa,"Kidman (Sample)","Director of Sales",carissa-kidman@noemail.com,555-555-5555,,555-555-5555,http://www.truhlarandtruhlarattys.com,Advertisement,"Contact in Future","Data/Telecom OEM",,200000,,zcrm_6045419000000442001,Rodrigo,zcrm_6045419000000442001,Rodrigo,"2023-11-30 15:23:57","2023-11-30 15:24:03","Carissa Kidman (Sample)","5 Boston Ave #88","Sioux Falls",SD,57105,"United States",,carissa-kidman,false,Ms.,,BRL,1.000000000,"2023-11-30 15:24:03",carissakidman_sample,,,,,,,,,,,,,false,false,,,,,"Sample Data"
zcrm_6045419000000460728,zcrm_6045419000000442001,Rodrigo,"Rangoni Of Florence",Christopher,"Maclead (Sample)","VP Accounting",christopher-maclead@noemail.com,555-555-5555,,555-555-5555,http://www.rangoniofflorence.com,"Cold Call","Lost Lead","Service Provider",,850000,,zcrm_6045419000000442001,Rodrigo,zcrm_6045419000000442001,Rodrigo,"2023-11-30 15:23:57","2023-11-30 15:24:03","Christopher Maclead (Sample)","37275 St Rt 17m M","Middle Island",NY,11953,"United States",,christopher-maclead,false,Mr.,,BRL,1.000000000,"2023-11-30 15:24:03",christophermaclead_sample,,,,,,,,,,,,,false,false,,,,,"Sample Data"
